Request ID,Request Description
23-FOI-00060,"Any/all employee injury/incident reports, videos, photos, pertaining to AMTRAK employee Russell Lombard's 8/25/22 injury while working at 30th Street Station (Date Range for Record Search: From 08/25/2022 To 11/29/2022)"
23-FOI-00061,"Spangler Environmental has been contracted by the City of Rocky Mount to conduct environmental reviews in order to obtain federal funding through HUD for a series of home rehabilitation projects. As part of this process, we're performing limited, indirect noise assessments for the properties close to the A branch railway line going through Rocky Mount, NC, and are submitting this request pursuant to the FOIA for the following information related to Amtrak-operated trains: - whether the engines are diesel or electric power - whether tracks are bolted or welded - average train speed - number of engines per train - average number of railway cars per train - average daily train operations - percentage of daily train operations that occur during night hours We're looking for current data/ an accurate representation, with the understanding that recent operations may have been affected by COVID. Thank you! (Date Range for Record Search: From 01/01/2019 To 11/30/2022)"
23-FOI-00062,Please provide Amtraks service animal policy.
23-FOI-00063,I request a copy of the following document: Consolidated Rail Infrastructure and Safety Improvements (CRISI) Program application filed on Dec. 1 requesting funding for proposed Gulf Coast route between Mobile and New Orleans. (Date Range for Record Search: From 12/1/2022 To 12/5/2022)
23-FOI-00064,"Good morning! This is a FOIA request for the presentation slides used in the Dec 1st 2022 board meeting given last week in the St. Louis Union Station Hotel ballroom. If there were multiple sets of presentation slides used in the meeting, I would like the file containing the attached ""Expressions of Interest"" map, presented by Executive Vice President Dennis Newman. Let me know if you need any additional details to find it. Sincerely, Alex Davis"
23-FOI-00065,"Records Sought In August 2021 Amtrak purchased land located at the corner of 12th Avenue and 30th Street in Manhattan, N.Y. Block 675 lot 1 property located in Manhattan New York for $351,000,000. Please provide a copy of the Amtrak contract to purchase the property and the appraisal in an electronic [pdf] via return email. The use is Category I and will pay $15.00 for the pdf file, please let me know if it exceeds that amount. There is no charge for processing a request if applicable fees are less than $10."
23-FOI-00066,We request the grant application to the Federal Railroad Administration seeking federal money through the Consolidated Rail Infrastructure and Safety Improvements (CRISI) Program regarding return of service along the Gulf Coast.
23-FOI-00067,"Hey Rebecca, I hope you are doing well. Would it be possible to get a copy of the FOIA related to the grant application for the gulf coast rail line?"
23-FOI-00068,"I am David Peter Alan, a Contributing Editor at Railway Age, a magazine and web site (www.railwayage.com), which reports news concerning passenger rail, including Amtrak. I write to request a copy of the grant request concerning infrastructure improvements proposed as part of the preparation for service between New Orleans and Mobile, pursuant to proceedings before the Surface Transportation Board and a settlement agreement between Amtrak, CSX, and NS. Upon information and belief, requests for the same document were made by the Southern Rail Commission, Mississippi Today (an on-line news publication), and other organizations and individuals. I have included that information to facilitate identifying the document which I am requesting. While I am willing to pay an applicable fee upon request from Amtrak, I do not believe that there will be a fee required to fill this request. I am a journalist assigned to report on this story, and I will accept having the document sent to me by e-mail at davealanrailreports@protonmail.com; the address I use for reporting purposes. If there is normally a fee to process a request such as this, I request a fee waiver, due to the public interest in reporting this development. I also request expedited processing, because we are treating this matter as breaking news. I CERTIFY that the reason for requesting expedited treatment is true and correct."
23-FOI-00069,Video footage at Grover Beach Amtrak Station on 12/5/2022 at or around 17:00 hours in which a accident occurred which resulted in the death of my Son (Date Range for Record Search: From 12/05/2022 To 12/05/2022)
23-FOI-00070,"A copy of the listing of Office of Inspector General investigations (not audits) closed during calendar years 2021 and 2022, to include fields such as the case number, the date the investigation was closed, the title or subject of the investigation, the category or type of investigation, etc. IF no such listing exists or can be produced from the computer database, then I instead request a copy of the title page and/or cover page for each OIG investigation closed during CY 2021 and 2022."
23-FOI-00071,"I would like to obtain a full copy of the CRISI grant application that Amtrak, the Southern Rail Commission, CSX Transportation, Norfolk Southern, and the Alabama Port Authority submitted to the Federal Railroad Administration to fund improvements necessary to start passenger service between Mobile, Ala., and New Orleans (Date Range for Record Search: From 09/01/2022 To 12/31/2022)"
23-FOI-00072,"The records of the battery by Ian Kaplan, on Ernst Jacobson including all intra/inter office notes, memos, emails, reports and the audible tapes of the witness testimonies by or between the those listed below. Amtrak VP & General Counsel on December 22, 1996 Amtrak VP & General Counsel, Eleanor Acheson Amtrak Police Counsel, David Domzalski Outside Counsel, Richard F. Johnson Lord, Bissel, & Brook FBI/Special Agent, Dennis Timony Amtrak Police Chief, Ernest Frazier Amtrak Inspector, Felix Perez Amtrak Captain, Dennis Phillips Amtrak Lt. Captain, William Poznanski Amtrak Policeman, Ian Kaplan Metra Policeman, Raymond Ortiz Cook County States Attorney, Malea Drew Cook County Judge, Michael Sheehan Chicago Police Detective, Michael Gerhartenstein On December 27, 1996 when I was interviewed by Lt. Captain Poznanski, concerning the battery by Ian Kaplan, I was required to sign an Amtrak / NPRC Form, before I could make the excessive force complain t.Lt Captain Poznanski, never gave me a copy of that signed form. Today, I ask that Amtrak provide me the signed copy of that Form that said I could be asked to take a polygraph test and be charged with perjury under penalty of Law, for lying."
23-FOI-00073,"A copy of each letter between (TO and/or FROM) Amtrak and each of these freight railroad companies regarding ""Freight Train Interference"" (FTI): Burlington Northern Santa Fe, Union Pacific, CSX, Norfolk Southern Railway, Kansas City Southern. I limit this request to correspondence during the time period January 1, 2022 to the present. I agree to limit his request to a search of the office most likely to contain such correspondence with freight railroads regarding the FTI issue."
23-FOI-00074,"Under relevant public records laws, please provide all documents pertaining to the background investigation process for police officer applicants/candidates. Specifically, please provide any and all templates used for background investigations on police officer applicants. To be clear, I am not asking for a background investigation report on a specific individual, rather I am seeking to view the format and content of the final background investigation report on police officer applicants/candidates. Best, Matt Hanan 703-517-4373 mhanan2911@gmail.com"
23-FOI-00075,"Dispatch reliability information for all locomotive fleets and power cars, both detailed and grouped by region/corridor/route showing the number of delays attributed to faults/failures, number of delay minutes/events attributed to enroute faults/failures, number of delay minutes/events requiring substitute equipment to be provided on day of departure from a terminal point. (Date Range for Record Search: From 11/01/2018 To 10/31/2022)"
23-FOI-00076,"We would like to view the outward camera footage on the Amtrak train involved in a fatal accident on 10/19/2022 in Robeson County, Rowland, North Carolina. (Date Range for Record Search: From 10/19/2022 To 10/19/2022)"
23-FOI-00077,"1. All UNREDACTED reports including and pertaining to Case Number: 22012153 2. A copy of the ""forward-facing camera footage"" from the involved locomotive (with Audio) from approximately 3 minutes before the accident and everything at the scene of the accident. 3. Any and all BWC footage pertaining to Case Number: 22012153 (Date Range for Record Search: From 10/02/2022 To 01/06/2023)"
23-FOI-00078,"Hi there. On December 1st, 2022, the Amtrak Board of Directors held a public meeting in St. Louis. I was unable to attend/stream. They gave a presentation on a screen either using a Powerpoint, PDF, or some similar file format. Would you please be able to provide a copy of the presentation given at this meeting? Thank you! https://media.amtrak.com/wp-content/uploads/2022/10/MA-BOD-Meeting-in-STL.pdf (Date Range for Record Search: From 12/01/2022 To 12/01/2022)"
23-FOI-00079,"Copy(s) of invoices sent to the United Railroad Historical Society (aka URHS) of Boonton, NJ for running charter trips in 2022 on the following dates out of New York Penn Station: 6/3 6/4 6/5 6/10 6/11 6/12 6/17 6/18 6/19 6/24 6/25 6/26 9/30 10/1 10/2 10/6 10/7 10/8 10/9 10/28 10/29 10/30 11/3 11/4 11/5 11/6  (Date Range for Record Search: From 06/01/2022 To 01/11/2023)"
23-FOI-00080,"FOIA Request  Employee Accident Report - Claim No. 171816-0001-GG Hello, I am the attorney of record for Mr. Anthony D. Stephens an Amtrak Pipefitter who was injured in a work place accident. 1.	The name and address of the requester, and the telephone number at which the requester can be reached during normal business hours. o	Philip J. Vogt o	Law Office of Philip P Vogt, PLLC o	5 Penn Plaza, 23rd Floor o	New York, NY 10001 o	Telephone 212-835-1640 o	Email: PhilipJohnVogt@pvogtlaw.com 2.	A reasonable description of the records sought that will enable Amtrak's staff to identify and produce the records sought with reasonable effort. o	Accident report and any associated photos or other documentation o	For my client Amtrak employee Anthony D. Stephens, Pipefitter o	Date of accident is August 27, 2022 or August 28, 2022. (There is confusion as to which date it happened on because the accident happened around midnight.) o	Place of accident is the Highspeed Rail Building, Sunnyside Yard, Queens, NY o	Amtrak claim No. 171816-0001-GG o	Claims Specialist Gregory Gibilaro 3.	The fee category recommended by the requester. The fee categories are listed below: o	Category IV: Other: Attorney Seeking Information for a Client. A statement indicating that the requester will pay all applicable processing fees or that the requester is willing to pay up to a specified amount. 	I am willing to pay up to $100 in fees, if the charge is more than $100 please contact me as I will need to authorize payment of over $100. Philip J. Vogt Law Office of Philip P. Vogt, PLLC 5 Penn Plaza, 23rd Floor New York, NY 10001 Tel (212) 835-1640 Fax (347) 493-3529  (Date Range for Record Search: From 8/27/2022 To 8/28/2022)"
23-FOI-00081,"Good afternoon, In June 2021, President Biden signed an executive order directing federal agencies to ""increase the availability and use of diversity, equity, inclusion, and accessibility training programs for employees, managers, and leadership."" Under the Freedom of Information Act, I am requesting copies of any training materials presented to employees, managers or leadership on the topic of diversity, equity, inclusion and accessibility. Please begin the search on Jan. 1, 2022, and end the search on the date that the request is fulfilled. Please include trainings regardless of whether they preexisted President Biden's executive order mentioned above. To the extent that participation in such trainings is statistically tracked, please provide that data as well. I am also requesting any vendor contracts, agreements or proposals related to the creation and/or presentation of those training materials. Please consider waiving fees, since the information is being sought in the public interest by a media organization. If there are fees for this request, please advise before it is fulfilled. If you deny any part of this request, please explain under what exemption the information is being withheld. Thanks--I appreciate your help. I'm at: 917-324-0842. best, Kyle -- Kyle Peterson The Wall Street Journal"
23-FOI-00082,"I am requesting an unredacted report # 22007174. I believe I am entitled to this report. An Amtrak employee created this report when they observed my car being hit. The accident occurred in New York. In this jurisdiction, Section 66-a states that: ""Notwithstanding any inconsistent provisions of law, general, special or local, or any limitation contained in the provision of any city charter, all reports and records of any accident, kept or maintained by the state police or by the police department or force of any county, city, town, village or other district of the state, shall be open to the inspection of any person having an interest therein, or of such person's attorney or agent, even though the state or a municipal corporation or other subdivision thereof may have been involved in the accident; except that the authorities having custody of such reports or records may prescribe reasonable rules and regulations in regard to the time and manner of such inspection, and may withhold from inspection any reports or records the disclosure of which would interfere with the investigation or prosecution by such authorities of a crime involved in or connected with the accident."" The NY State Committee on Open Government commented on this law; their comments suggest I should have access: In sum, it is our view, based on the language of the law and its judicial construction, that motor vehicle accident reports must be disclosed in their entirety, except in two circumstances: the first would involve a situation in which portions may be withheld because disclosure would ""interfere with the investigation or prosecution...of a crime involved in or connected with the accident; and the second with a situation in which accident victims names and addresses are sought for a commercial purpose. Finally, my property has been damaged and from this report it is known by Amtrak that my property was damaged. I am seeking information so I can appropriately file an insurance claim to restore my property. It would obstruct my effort for Amtrak to redact the report. (Date Range for Record Search: From 06/01/2022 To 08/01/2022)"
23-FOI-00083,"A copy of the final report and report of investigation and closing memo and referral memo for each of the following closed investigations: DC-16-0283-HL-O, HQ-21-0147-HL-S, CC-21-0039-O, CC-21-0086-S, PA-17-0284-O, IL-20-0152-O, FL-20-0573-S, HQ-21-0259-O, CC-21-0288-P, HQ-21-0037-O, CA-22-0128-O, CA-21-0569-HL-P, HQ-22-0236-HL-S, CA-22-0249-HL-S, CA-21-0460-S, CC-21-0551-S, DC-21-0486-S."
23-FOI-00084,"I am requesting to obtain information regarding the following record: RFNP No. Doc3210032129 Enterprise Project Portfolio Management Solution and Deployment Technical Volume  Implementation Services RFP Close Date: December 16, 2021, at 2:00pm EST I am requesting copies of the following information from the record detailed above: 1. Scoring and evaluation sheets 2. All submitted proposals 3. A copy of the contract I ask that the information be provided electronically by email if possible. If there are any fees for searching or copying these records, please inform me before filing my request. Should you deny my request, or any part of the request, please state in writing the basis for the denial. Please confirm receipt of this request."
23-FOI-00085,"- Please provide the current annual salary information for Amtrak contractor, Stephen Sigmund. - Please, also, provide Mr. Sigmunds most up-to-date contract with Amtrak."
23-FOI-00086,"a.	Please conduct a search and provide us with the permits of the escalator Including any repairs located at or near 32nd Street and 7th Avenue, Pennsylvania Station, New York, New York; b.	Prior written notice of any defects to that escalator located at or near 32nd Street and 7th Avenue, Pennsylvania Station, New York, New York; c.	Complaints, maps, notifications or work orders for the escalator located at or near 32nd Street and 7th Avenue, Pennsylvania Station, New York, New York; d.	Please advise us whether the City of New York had written notice of any Defects for the escalator located at or near 32nd Street and 7th Avenue, Pennsylvania Station, New York, New York; e.	Any permits for work at the above-indicated location for two (2) years Prior to the date of accident; f.	Any contracts with the City of New York for the above-indicated location For two (2) years prior to September 20, 2022; g.	Any work orders from the complaints or repairs by the City of New York For the above location for two years prior to the date of accident. (Date Range for Record Search: From 09/20/2020 To 01/25/2023)"
23-FOI-00087,"To Whom It May Concern: Pursuant to the Freedom of Information Act, I hereby request the following records: Documents related to the publication of this tweet: https://twitter.com/Amtrak/status/1618337925560672285 These documents, which would presumably be in the possession of social media managers, would include mock-ups or conceptual renderings of the art, contracts related to its commissioning, and memos or online conversations in which the idea for the tweet is workshopped, as well as ones in which the concept of ""fan art"" is discussed. I seek such documents generated between September 1, 2022 and the time this request is processed. The requested documents will be made available to the general public, and this request is not being made for commercial purposes. In the event that there are fees, I would be grateful if you would inform me of the total charges in advance of fulfilling my request. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not. Thank you in advance for your anticipated cooperation in this matter. I look forward to receiving your response to this request within 20 business days, as the statute requires. Sincerely, Tim Marchman Upload documents directly: https://accounts.muckrock.com/accounts/login/?next=https%3A%2F%2Fwww.muckrock.com%2Faccounts%2Flogin%2F%3Fnext%3D%252Faccounts%252Fagency_login%252Famtrak-479%252Fsexy-amtrak-139578%252F%253Femail%253Dfoiarequests%252540amtrak.com&url_auth_token=AAATVYKiO-GfvLcy-rFs0b0KhIc%3A1pKtMV%3AR_eE6SAMZLgj5QAT0FA-9-2ynmlP9DAk5f06vry8ZmQ (Date Range for Record Search: From 09/01/2022 To 01/26/2023)"
23-FOI-00088,"We are conducting a HUD noise assessment for a property at 145 Dewitt Street in New Haven, CT. Please confirm operations for the railway in this area."
23-FOI-00089,"I am submitting a FOIA request for the following: 6 of the most recent invoices for diesel fuel and supporting delivery paperwork. delivered direct to trains 794/562 located at 2472 E 8th St. Los Angeles, CA 90021. 6 of the most recent invoices for diesel fuel and supporting delivery paperwork. delivered direct to trains 588/761 located at 1050 Kettner Blvd., San Diego, CA 92101 6 of the most recent invoices for diesel fuel and supporting delivery paperwork. delivered direct to trains 777/774 located at 1011 1/2 Railroad Ave., Santa Rosa St., San Luis Obispo, CA 93401. 6 of the most recent invoices for diesel fuel and supporting delivery paperwork. delivered direct to trains 785/770 located at 25 S. La Patera Lane, Goleta, CA 93117. A copy of of the current diesel fuel contract for Amtrak Goleta. A copy of the current diesel fuel contract for Amtrak San Luis Obispo. A copy of the current diesel fuel contract for Amtrak Los Angeles. A copy of the current diesel fuel contract for Amtrak San Diego. A copy of the bid tabulation for bid WS255961 from February of 2017. A copy of the bid tabulation for bid WS258353 from June of 2017. (Date Range for Record Search: From 02/01/2017 To 01/27/2023)"
23-FOI-00090,"To Whom It May Concern: Pursuant to the Freedom of Information Act, I hereby request the following records: The agenda and minutes for any meeting of Amtrak's Board of Directors that occurred between June 1, 2022 and September 30, 2022. The requested documents will be made available to the general public, and this request is not being made for commercial purposes. In the event that there are fees, I would be grateful if you would inform me of the total charges in advance of fulfilling my request. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not. Thank you in advance for your anticipated cooperation in this matter. I look forward to receiving your response to this request within 20 business days, as the statute requires. Sincerely, Ben Heckscher Upload documents directly: https://accounts.muckrock.com/accounts/login/?next=https%3A%2F%2Fwww.muckrock.com%2Faccounts%2Flogin%2F%3Fnext%3D%252Faccounts%252Fagency_login%252Famtrak-479%252Famtrak-board-of-directors-meeting-agendas-and-minutes-jun-jul-aug-sept-2022-2nd-request-139736%252F%253Femail%253Dfoiarequests%252540amtrak.com&url_auth_token=AAATVYKiO-GfvLcy-rFs0b0KhIc%3A1pMfxL%3AqEI3RMg33jf9fGjOepIdkDTKefe-nltZjj8WhB-Z0-4 (Date Range for Record Search: From 06/01/2022 To 09/30/2022)"
23-FOI-00091,"hello! This is a request under the Freedom of Information Act. I request that a copy of the following documents be provided to me: -- All internal communication at Amtrakemails, messages sent in chat apps such as Slack, minutes of meetings or notes from phone callsregarding the implementation, status, success, and upkeep of the system that provides complimentary Wi-Fi access on Amtrak trains. -- All internal reports or presentations regarding the implementation, status, success, and upkeep of the system that provides complimentary Wi-Fi access on Amtrak trains. -- All communication with members of US Congress or federal agencies regarding the implementation, status, success, and upkeep of the system that provides complimentary Wi-Fi access on Amtrak trains. -- All communication with Amtrak customers regarding the implementation, status, success, and upkeep of the system that provides complimentary Wi-Fi access on Amtrak trains. -- Any internal instruction to Amtrak employees as to how to communicate with Amtrak customers about the Wi-Fi access on Amtrak trains. In order to help to determine my status to assess fees, you should know that I am a reporter at The Atlantic, a national magazine with 900,000 print subscribers and 20 million monthly online readers. This request is made as part of news gathering and is not for commercial use. I request a waiver of all fees for this request. Disclosure of the information is in the public interest, and will be informative for our readers. Thank you for your consideration of this request, Kaitlyn Tiffany 640 Classon Avenue Apt. 3 Brooklyn NY 11238 585-413-7434  (Date Range for Record Search: From 01/01/2008 To 01/31/2023)"
23-FOI-00092,"To Whom It May Concern: Pursuant to the Freedom of Information Act, I hereby request the following records: The agenda and minutes for any meeting of Amtrak's Board of Directors that occurred between October 1, 2022 and December 31, 2022. The requested documents will be made available to the general public, and this request is not being made for commercial purposes. In the event that there are fees, I would be grateful if you would inform me of the total charges in advance of fulfilling my request. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not. Thank you in advance for your anticipated cooperation in this matter. I look forward to receiving your response to this request within 20 business days, as the statute requires. Sincerely, Ben Heckscher Upload documents directly: https://accounts.muckrock.com/accounts/login/?next=https%3A%2F%2Fwww.muckrock.com%2Faccounts%2Flogin%2F%3Fnext%3D%252Faccounts%252Fagency_login%252Famtrak-479%252Famtrak-board-of-directors-meeting-agendas-and-minutes-oct-nov-dec-2022-140034%252F%253Femail%253Dfoiarequests%252540amtrak.com&url_auth_token=AAATVYKiO-GfvLcy-rFs0b0KhIc%3A1pNnDp%3ANOb35tVSgkZXdD8Ei8RrXKYxSF3GmUaMHZySr_-O7Co (Date Range for Record Search: From 10/01/2022 To 12/31/2022)"
23-FOI-00093,"Hello, I am requesting any and all documents regarding 1. schedules, dates, and any other relevant info regarding the loss of shunt device 2. Any schedules, dates, and any other relevant documents regarding the F59PHI that traveled from California to Michigan for testing (Date Range for Record Search: From 01/01/2023 To 03/01/2023)"
23-FOI-00094,Project No. X112-21356 - RFQ Contractor - Harrisburg Station - Train Shed Roof Replacement (LOI) - request for qualifications were due on 2/6/23. Can you please provide the list of contractors who submitted qualifications for the above project? Thank you. (Date Range for Record Search: From 02/06/2023 To 02/06/2023)
23-FOI-00095,"To Whom It May Concern: Pursuant to the Freedom of Information Act, I hereby request the following records: All documents pertaining to the removal of food products from Amtrak service for listeria contamination. According to news reports, the products were removed from service starting on January 29, 2023. The search for documents should include but not be limited to emails and attachments, text messages, photos, memos, and PDFs. The requested documents will be made available to the general public, and this request is not being made for commercial purposes. In the event that there are fees, I would be grateful if you would inform me of the total charges in advance of fulfilling my request. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not. Thank you in advance for your anticipated cooperation in this matter. I look forward to receiving your response to this request within 20 business days, as the statute requires. Sincerely, Aaron Gordon Upload documents directly: https://accounts.muckrock.com/accounts/login/?next=https%3A%2F%2Fwww.muckrock.com%2Faccounts%2Flogin%2F%3Fnext%3D%252Faccounts%252Fagency_login%252Famtrak-479%252Flisteria-foods-140245%252F%253Femail%253Dfoiarequests%252540amtrak.com&url_auth_token=AAATVYKiO-GfvLcy-rFs0b0KhIc%3A1pPblV%3AQRJSBFvMj0i-KXUneazzm-1gFvxR_uTOaSMBjCn2hH0"
23-FOI-00096,"Any and all video, photos, reports, or information regarding a passenger falling on the platform at the Homewood Station at 18015 Park Avenue Homewood, Illinois on January 23, 2023. (Date Range for Record Search: From 01/23/2023 To 01/23/2023)"
23-FOI-00097,"1. Any and all recordings, photographs, reports, records, documents, data, or other information (whether digital, electronic, or in paper form, or stored in some other manner) relating to the Homewood Station at 18015 Park Avenue, Homewood, Illinois on January 23, 2023. 2. Any and all documents, data, or other information (whether digital, electronic, or in paper form, or stored in some other manner) relating to the ownership, maintenance, monitoring, managing, and operating of the platform at Homewood Station at 18015 Park Avenue, Homewood, Illinois on January 23, 2023. 3. Any and all documents, data, or other information (whether digital, electronic, or in paper form, or stored in some other manner) relating the entity responsible for snow and ice removal at the Homewood Station at 18015 Park Avenue, Homewood, Illinois on January 23, 2023. 4. Any and all documents, data, photographs, records, or other information (whether digital, electronic, or in paper form, or stored in some other manner) relating to the schematics of the Homewood Station at 18015 Park Avenue, Homewood, Illinois, including, but not limited to, layout and design of the platform as it existed in January 2023. (Date Range for Record Search: From 01/23/2023 To 01/23/2023)"
23-FOI-00098,"Any cameras, audio, or footage onboard the Hiawatha Amtrak Train 337 on 7/25/2021."
23-FOI-00099,"Please provide details of all materials designated as hazardous under United States Code Title 49, Subtitle III, Chapter 51, Section 5103 (Hazardous Materials) which have been transported on the the tracks running under western Manhattan, (including specifically under West 45th Street between 10th and 11th Avenues, New York, NY 10036) from January 1, 2021 to date, including in each instance: (a) a description of the Hazardous Materials, identifying what they are, (b) the quantity of the Hazardous Materials, (c) the date and time of transport of the Hazardous Materials, (d) the owner of the Hazardous Materials, and (e) the name of the operator of the transportation service used to transport the Hazardous Materials. (Date Range for Record Search: From 01/01/2021 To 02/26/2023)"
23-FOI-00100,can you please provide a copy of the most recent Mainframe RFI and the corresponding Questions and Answer to the Mainframe RFI  thank you
23-FOI-00101,"For the property in Bronx, NY that sits west of the Amtrak Railroad tracks, bounded by Bassett Ave and on the North by Pelham Parkway (Zip code 10461) What is the current lease period for this property(s) and on what date does it end? What is the current rate being paid to Amtrak to lease this property? I am requesting a copy of an existing application with the basic requirements to apply to lease Amtrak property. (Date Range for Record Search: From 2/28/2023 To 2/28/2023)"
23-FOI-00102,Category I: Commercial Use We are looking for a copy of the current contract for janitorial services at the William H. Gray III 30th Street Amtrack station. Philadelphia Maverick Building Services is willing to pay all applicable processing fees.
23-FOI-00103,"CNS News requests: 1. All email communicationsincluding attachments to those emailsbetween Chief Executive Officer (CEO) Stephen Gardner and Transportation Secretary Pete Buttigieg from January 17, 2022, to February 27, 2023. 2. All email communicationsincluding attachments to those emailsbetween CEO Gardner and Deputy Transportation Secretary Polly Trottenberg from January 17, 2022, to February 27, 2023. 3. All email communicationsincluding attachments to those emailsbetween CEO Gardner and Homeland Security Secretary Alejandro Mayorkas from January 17, 2022, to February 27, 2023. 4. All email communicationsincluding attachments to those emailsbetween CEO Gardner and Deputy Homeland Security Secretary John Tien from January 17, 2022, to February 27, 2023. 5. All email communicationsincluding attachments to those emailsbetween CEO Gardner and Labor Secretary Marty Walsh from January 17, 2022, to February 27, 2023. 6. All email communicationsincluding attachments to those emailsbetween CEO Gardner and Deputy Labor Secretary Julie Su from January 17, 2022, to February 27, 2023. 7. All FOIA logs related to CEO Gardner. (Date Range for Record Search: From 01/17/2022 To 02/27/2023)"
23-FOI-00104,"Im with Construct Connect. I am writing to request a copy of the shortlists for the projects listed below and, if available, the awarded contractor. I would also like to know the anticipated start dates, if determined. Projects: 	RFQ Contractor - Harrisburg Station - Train Shed Roof Replacement (LOI) - X112-21356 	RFQ General Contractor - Interior Office/Building and Exterior Renovations Amtrak Maintenance of Way Base - X138-22350"
23-FOI-00105,"Description of the records sought: Complete background information pertaining to the National Network 2.0 route structure initiative, goals and next steps as outline by Mr. Stephen Gardner & Richard Anderson during the May 17, 2018 Board of Directors meeting Data source: Stephen Gardner (Date Range for Record Search: From 01/01/2018 To 06/30/2018)"
23-FOI-00106,Requesting a copy of the updated business case for the Unified Operations Center (Date Range for Record Search: From 05/01/2022 To 10/31/2022)
23-FOI-00107,"Description of the records sought: Amtrak Equipment Asset Inventory (Detailed) Data should reflect equipment status as of Tuesday, February 28, 2023 See attached for an example which reflects October 2021 data. Data source: Office of Amtrak Chief Mechanical Officer Amtrak's Operations Maintenance System  (Date Range for Record Search: From 02/28/2023 To 03/31/2023)"
23-FOI-00108,"I am writing to request documents regarding the incident on May 15th, 2018, on the West-bound California Zephyr Train, where I, Aaron Salazar, exited the moving train and was found unconscious next to the tracks east of Truckee, CA. To my knowledge there are no current law enforcement investigations or proceedings regarding the matter. I am writing to request documents regarding the events of May 15th, 2018, on the westbound California Zephyr Train: · All Amtrak Police reports and witness interviews about the incident · All Amtrak Police correspondence with Truckee Police about the same incident · All internal correspondence not otherwise privileged within Amtrak about me, Aaron Salazar, and what happened to me · The crew manifest for the westbound California Zephyr on May 15th, 2018, at the time I went out the moving train (between Reno, NV and Truckee, CA) (Date Range for Record Search: From 05/15/2018 To 03/02/2023)"
23-FOI-00109,"On Sep 24, 2021 the Board approved FY22 meetings: Jan 19-20, 2022 Mar 30-31, 2022 May 18-19, 2022 Jul 20-21, 2022 Sep 14-15, 2022 Nov 30-Dec 1, 2022 Please provide the agenda and meeting minutes for all such scheduled, rescheduled and special board meetings. (Date Range for Record Search: From 01/01/2022 To 03/05/2023)"
23-FOI-00110,"Please provide the entire BOARD BOOK provided to the Amtrak Board of Directors that was reviewed during the regularly scheduled Nov 30-Dec 1, 2022 Board of Directors Meeting (Date Range for Record Search: From 11/01/2022 To 03/05/2023)"
23-FOI-00111,"During the Jan 28, 2021 Board Meeting the Board approved the Minutes for the meetings held on November 13-14, 20, 2020; and December 16, 2020. Please provide the agenda and minutes for these specific dates for which the Board approved minutes. (Date Range for Record Search: From 11/01/2020 To 01/31/2021)"
23-FOI-00112,"Please provide a copy of the Business Case pertaining to the Amfleet I replacement as referenced by Ms. Winbigler during the Jan 29, 2021 Board of Directors meeting. Ms. Winbigler advised the Board that the Business Case had been provided to the Federal Railroad Administration. (Date Range for Record Search: From 12/01/2020 To 01/31/2021)"
23-FOI-00113,Please provide the minutes for the May 20 and 21 Board of Directors meeting for which the agenda has been previously provided. (Date Range for Record Search: From 05/20/2021 To 12/31/2021)
23-FOI-00114,"Please provide a copy of Mr. Coscia's report to the Board of Directors pertaining to litigation between PMCC & Amtrak pertaining to the HHP8 locomotives. Mr. Coscia made this presentation during the May 20, 2021 Board Meeting as documented by the previously provided minutes. (Date Range for Record Search: From 05/01/2021 To 12/31/2021)"
23-FOI-00115,"Please provide a copy of Mr. Hull's report to the Board of Directors as referenced in the September 24, 2021 Board of Directors minutes. (Date Range for Record Search: From 09/01/2021 To 12/31/2021)"
23-FOI-00116,"Hi, we would like to request the power washing bid for rail cars in Kansas City, MO. We own a franchise and would like to bid even if there is current contract, we would like to bid for when it is over. Thank you. (Date Range for Record Search: From 01/01/2022 To 12/31/2022)"
23-FOI-00117,"I would like amtrak police crime statistics and information for Union Station and the surrounding area where Amtrak Police assigned to union station responded to the report of crimes in 2022 and 2023 to date. I would like a breakdown of the type of call (for example assault, person with a knife, sexual assault, etc. and if an arrest occurred. Thank you (Date Range for Record Search: From 01/01/2022 To 03/06/2023)"
23-FOI-00118,"Any plans, drawings, schematics, concepts or renderings of possible development of property in the Town of Weehawken, New Jersey known as Block 34.03, Lots 7, 7.02 and 8 (the ""Dykes Lumber Property"") with infrastructure intended to support the proposed Gateway Tunnel. (Date Range for Record Search: From 03/01/2022 To 03/06/2023)"
23-FOI-00119,"all video recordings; all still photographs; all information recorded by any event data recorder (a/k/a ""black box); all witness statements; all accident reports; all incident reports; all communications with CSX; and all other documents, records, recordings, and other information regarding or related to the collision, and any other tangible item regarding a motor vehicle accident that occurred on February 23, 2023, at approximately 8:19 p.m. at the train crossing on Hwy 165, Ravenel, South Carolina. (Date Range for Record Search: From 02/23/2023 To 03/25/2023)"
